tweet_id,timestamp,source,text,expanded_urls,name,jpg_url,retweet,favorites,dogs_names,stage,values
892420643555336193,2017-08-01 16:23:56,Twitter iphone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,Phineas,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,6964.0,33674.0,Phineas,,13.0
892177421306343426,2017-08-01 00:17:27,Twitter iphone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,Tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,5269.0,29214.0,Tilly,,13.0
891815181378084864,2017-07-31 00:18:03,Twitter iphone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,Archie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,3463.0,21963.0,Archie,,12.0
891689557279858688,2017-07-30 15:58:51,Twitter iphone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,Darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,7190.0,36768.0,Darla,,13.0
891327558926688256,2017-07-29 16:00:24,Twitter iphone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",Franklin,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,7710.0,35161.0,Franklin,,12.0
890971913173991426,2017-07-28 16:27:12,Twitter iphone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",,Jax,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1646.0,10324.0,Jax,,13.0
890609185150312448,2017-07-27 16:25:51,Twitter iphone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,Zoey,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,3602.0,24406.0,Zoey,,13.0
890240255349198849,2017-07-26 15:59:51,Twitter iphone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,Cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,6064.0,27832.0,Cassie,doggo,13.0
890006608113172480,2017-07-26 00:31:25,Twitter iphone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",Koda,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,6111.0,26926.0,Koda,,12.0
889880896479866881,2017-07-25 16:11:53,Twitter iphone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://twitter.com/dog_rates/status/889880896479866881/photo/1,Bruno,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,4138.0,24463.0,Bruno,,13.0
